Race ID,Weather Icon,Grade,Finish Position,Bracket Number,Horse ID,Weight (kg),Jockey,Final Time,Favorite,Horse Weight (kg),Trainer,Owner,Track_Distance,Age,Sex,Top3,Top 3 Probability,Final Time (sec),Speed (m/s),Avg Speed (m/s),Total_Weight,Weight_Rank,Age_Rank,Favorite_Rank,Top3_Rank,Speed (m/s)_Rank,Weight (kg)_Scale,Age_Scale,Favorite_Scale,Top 3 Probability_Scale,Avg Speed (m/s)_Scale
198906050809,2,0,1,8,1984106229,56.0,288,2:31.7,4.0,448.0,220,318,2500,6,2,1,0.0,151.7,16.47989452867502,0.0,504.0,16.0,10.0,4.0,1.0,1.0,0.9964412811387899,1.0843373493975903,0.45454545454545453,,
198906050809,2,0,2,3,1985104409,57.0,550,2:31.7,2.0,522.0,392,809,2500,5,2,1,0.0,151.7,16.47989452867502,0.0,579.0,1.0,4.0,2.0,1.0,1.0,1.015439429928741,0.8928571428571429,0.22388059701492538,,
198906050809,2,0,3,7,1986106198,55.0,77,2:32.1,3.0,450.0,207,1167,2500,4,2,1,0.0,152.1,16.43655489809336,0.0,505.0,15.0,1.0,3.0,1.0,1.0,0.9774881516587678,0.7058823529411764,0.3383458646616541,,
198906050809,2,0,4,6,1983103889,56.0,548,2:32.3,9.0,458.0,169,1331,2500,7,2,0,0.0,152.3,16.414970453053183,0.0,514.0,13.0,13.0,9.0,1.0,1.0,0.9964412811387899,1.2804878048780488,1.0629921259842519,,
198906050809,2,0,5,1,1985102167,57.0,198,2:32.5,1.0,496.0,504,1137,2500,5,2,0,0.0,152.5,16.39344262295082,0.0,553.0,4.0,4.0,1.0,1.0,1.0,1.015439429928741,0.8928571428571429,0.1111111111111111,,
198906050809,2,0,6,8,1985104215,57.0,203,2:33.0,8.0,496.0,289,155,2500,5,2,0,0.0,153.0,16.33986928104575,0.0,553.0,4.0,4.0,8.0,1.0,1.0,1.015439429928741,0.8928571428571429,0.9375,,
198906050809,2,0,7,7,1983102263,56.0,94,2:33.1,11.0,464.0,340,602,2500,7,2,0,0.0,153.1,16.32919660352711,0.0,520.0,11.0,13.0,11.0,1.0,1.0,0.9964412811387899,1.2804878048780488,1.3199999999999998,,
198906050809,2,0,8,8,1984104419,56.0,540,2:33.2,10.0,454.0,429,1213,2500,6,2,0,0.0,153.2,16.318537859007833,0.0,510.0,14.0,10.0,10.0,1.0,1.0,0.9964412811387899,1.0843373493975903,1.1904761904761905,,
198906050809,2,0,9,4,1985106301,57.0,65,2:33.4,12.0,482.0,506,396,2500,5,2,0,0.0,153.4,16.297262059973924,0.0,539.0,6.0,4.0,12.0,1.0,1.0,1.015439429928741,0.8928571428571429,1.4516129032258063,,
198906050809,2,0,10,5,1983102888,56.0,354,2:33.6,16.0,480.0,551,1649,2500,7,2,0,0.0,153.6,16.276041666666668,0.0,536.0,7.0,13.0,16.0,1.0,1.0,0.9964412811387899,1.2804878048780488,2.0,,
198906050809,2,0,11,2,1984104450,56.0,379,2:33.7,5.0,470.0,563,1213,2500,6,2,0,0.0,153.7,16.265452179570595,0.0,526.0,9.0,10.0,5.0,1.0,1.0,0.9964412811387899,1.0843373493975903,0.5725190839694657,,
198906050809,2,0,12,6,1985104018,57.0,386,2:34.0,15.0,502.0,84,1086,2500,5,2,0,0.0,154.0,16.233766233766232,0.0,559.0,2.0,4.0,15.0,1.0,1.0,1.015439429928741,0.8928571428571429,1.859504132231405,,
198906050809,2,0,13,7,1985104631,57.0,270,2:34.1,6.0,498.0,268,485,2500,5,2,0,0.0,154.1,16.223231667748216,0.0,555.0,3.0,4.0,6.0,1.0,1.0,1.015439429928741,0.8928571428571429,0.6923076923076924,,
198906050809,2,0,14,4,1986101204,55.0,110,2:34.4,13.0,466.0,519,1177,2500,4,2,0,0.0,154.4,16.191709844559586,0.0,521.0,10.0,1.0,13.0,1.0,1.0,0.9774881516587678,0.7058823529411764,1.5853658536585367,,
198906050809,2,0,15,2,1982101936,56.0,38,2:34.4,14.0,478.0,296,1835,2500,8,2,0,0.0,154.4,16.191709844559586,0.0,534.0,8.0,16.0,14.0,1.0,1.0,0.9964412811387899,1.4814814814814814,1.7213114754098362,,
198906050809,2,0,16,5,1986105047,55.0,99,2:34.5,7.0,464.0,370,1213,2500,4,2,0,0.0,154.5,16.181229773462782,0.0,519.0,12.0,1.0,7.0,1.0,1.0,0.9774881516587678,0.7058823529411764,0.813953488372093,,
198907030811,0,2,1,3,1983103831,57.0,233,1:09.1,1.0,492.0,314,814,1200,7,2,1,0.0,69.1,17.366136034732275,0.0,549.0,5.0,14.0,1.0,1.0,1.0,1.049079754601227,1.3125,0.1111111111111111,,
198907030811,0,2,2,1,1983105967,56.0,549,1:09.3,5.0,494.0,124,610,1200,7,1,1,0.0,69.3,17.316017316017316,0.0,550.0,4.0,14.0,5.0,1.0,1.0,1.0294117647058825,1.3125,0.5725190839694657,,
198907030811,0,2,3,3,1986101828,55.0,552,1:09.4,10.0,468.0,132,1067,1200,4,2,1,0.0,69.4,17.291066282420747,0.0,523.0,9.0,1.0,10.0,1.0,1.0,1.0097919216646267,0.7228915662650602,1.1904761904761905,,
198907030811,0,2,4,7,1982106570,56.0,450,1:09.4,7.0,504.0,409,1606,1200,8,2,0,0.0,69.4,17.291066282420747,0.0,560.0,3.0,16.0,7.0,1.0,1.0,1.0294117647058825,1.518987341772152,0.813953488372093,,
