Race ID,Race Type,Weather,Grade,Finish Position,Horse ID,Age/Sex,Final Time,Odds,Horse Weight
198906050510,1600,Weather01,G3,1,1987106773,3F,1:35.5,14.9,452
198906050510,1600,Weather01,G3,2,1987106513,3F,1:35.5,13.0,474
198906050510,1600,Weather01,G3,3,1987105632,3F,1:35.5,4.7,416
198906050510,1600,Weather01,G3,4,1987100204,3F,1:35.7,3.4,478
198906050510,1600,Weather01,G3,5,1987102597,3F,1:35.9,5.3,476
198906050510,1600,Weather01,G3,6,1987106855,3F,1:36.1,12.4,432
198906050510,1600,Weather01,G3,7,1987101480,3F,1:36.3,6.8,420
198906050510,1600,Weather01,G3,8,1987102898,3F,1:36.3,9.4,448
198906050510,1600,Weather01,G3,9,1987107252,3F,1:36.7,47.9,412
198906050510,1600,Weather01,G3,10,1987105339,3F,1:36.7,102.3,402
198906050510,1600,Weather01,G3,11,1987101351,3F,1:36.8,55.2,466
198906050510,1600,Weather01,G3,12,1987105152,3F,1:36.8,115.9,452
198906050510,1600,Weather01,G3,13,1987102104,3F,1:36.8,15.0,464
198906050510,1600,Weather01,G3,14,1987101289,3F,1:37.9,32.0,422
198906050510,1600,Weather01,G3,15,1987104960,3F,1:38.1,69.5,444
198907030411,,Weather01,G3,1,1986104183,4H,2:21.2,14.9,524
198907030411,,Weather01,G3,2,1986105445,4H,2:21.3,38.6,546
198907030411,,Weather01,G3,3,1983104010,7H,2:21.6,6.1,488
198907030411,,Weather01,G3,4,1984104959,6H,2:21.7,1.6,510
198907030411,,Weather01,G3,5,1984104802,6H,2:22.3,6.0,510
198907030411,,Weather01,G3,6,1984106041,6M,2:22.4,20.7,482
198907030411,,Weather01,G3,7,1985101727,5H,2:22.5,27.6,464
198907030411,,Weather01,G3,8,1986102123,4H,2:22.7,16.9,462
198907030411,,Weather01,G3,9,1984106967,6M,2:23.0,15.7,420
198907030411,,Weather01,G3,10,1984105911,6M,2:23.2,36.2,480
198907030411,,Weather01,G3,11,1985100752,5H,2:23.9,53.5,540
198907030411,,Weather01,G3,12,1984101702,6M,2:23.9,68.2,460
198907030411,,Weather01,G3,13,1984104726,6H,2:24.2,79.2,506
198907030411,,Weather01,G3,14,1985102000,5H,2:25.0,61.9,484
198907030611,2000,Weather01,G3,1,1985100599,5H,1:59.0,5.2,528
198907030611,2000,Weather01,G3,2,1985101073,5H,1:59.5,10.3,518
198907030611,2000,Weather01,G3,3,1983104583,7H,1:59.6,4.0,498
198907030611,2000,Weather01,G3,4,1985100057,5M,1:59.9,6.0,454
198907030611,2000,Weather01,G3,5,1984102879,6H,2:00.3,4.9,498
198907030611,2000,Weather01,G3,6,1984102059,6H,2:00.5,8.6,470
198907030611,2000,Weather01,G3,7,1985105273,5H,2:00.8,47.1,468
198907030611,2000,Weather01,G3,8,1986105445,4H,2:01.0,11.9,542
198907030611,2000,Weather01,G3,9,1983103618,7H,2:01.7,10.6,492
198907030611,2000,Weather01,G3,10,1985101430,5H,2:01.8,17.0,448
198907030611,2000,Weather01,G3,11,1985106082,5H,2:02.3,15.2,480
198907030611,2000,Weather01,G3,NR,1986104996,4M,,---,nan
198909050410,1600,Weather01,G3,1,1987102844,3F,1:35.8,3.6,418
198909050410,1600,Weather01,G3,2,1987106192,3F,1:35.9,5.1,432
198909050410,1600,Weather01,G3,3,1987104784,3F,1:36.0,6.9,450
198909050410,1600,Weather01,G3,4,1987101707,3F,1:36.2,8.3,450
198909050410,1600,Weather01,G3,5,1987104444,3F,1:36.5,8.1,410
198909050410,1600,Weather01,G3,6,1987101258,3F,1:36.6,13.6,450
198909050410,1600,Weather01,G3,7,1987103103,3F,1:36.7,56.4,468
198909050410,1600,Weather01,G3,8,1987102152,3F,1:36.7,3.7,482
198909050410,1600,Weather01,G3,9,1987104888,3F,1:36.7,64.8,418
198909050410,1600,Weather01,G3,10,1987103647,3F,1:37.5,22.8,384
198909050410,1600,Weather01,G3,11,1987106182,3F,1:37.6,16.5,454
198906050411,3600,Weather01,G3,1,1984104419,6H,3:47.3,1.8,452
198906050411,3600,Weather01,G3,2,1984104478,6H,3:47.6,16.4,510
198906050411,3600,Weather01,G3,3,1984106785,6H,3:47.7,13.3,454
198906050411,3600,Weather01,G3,4,1985102088,5H,3:48.0,7.5,458
198906050411,3600,Weather01,G3,5,1986104026,4H,3:48.4,5.2,500
198906050411,3600,Weather01,G3,6,1985106133,5H,3:48.5,9.3,460
198906050411,3600,Weather01,G3,7,1985104480,5M,3:48.6,20.4,462
198906050411,3600,Weather01,G3,8,1986103419,4M,3:48.7,33.2,466
198906050411,3600,Weather01,G3,9,1983106489,7H,3:48.7,13.9,490
198906050411,3600,Weather01,G3,10,1985106707,5H,3:49.4,19.8,462
198909050611,1600,Weather01,G1,1,1987105387,3C,1:35.7,12.9,432
198909050611,1600,Weather01,G1,2,1987102798,3C,1:35.7,7.9,466
198909050611,1600,Weather01,G1,3,1987103451,3C,1:36.0,3.1,476
198909050611,1600,Weather01,G1,4,1987103793,3C,1:36.3,5.3,450
198909050611,1600,Weather01,G1,5,1987106583,3C,1:36.5,23.0,430
198909050611,1600,Weather01,G1,6,1987102761,3F,1:36.7,3.7,464
198909050611,1600,Weather01,G1,7,1987102484,3C,1:37.3,14.9,490
198909050611,1600,Weather01,G1,8,1987104719,3C,1:37.6,10.7,460
198909050611,1600,Weather01,G1,9,1987104797,3C,1:37.6,12.8,486
198909050611,1600,Weather01,G1,10,1987103667,3F,1:37.7,70.7,438
198909050611,1600,Weather01,G1,11,1987102317,3C,1:37.8,21.9,474
198909050611,1600,Weather01,G1,12,1987101846,3C,1:38.1,81.5,464
198909050210,2500,Weather01,G2,1,1985104631,5H,2:31.5,4.2,498
198909050210,2500,Weather01,G2,2,1983100608,7G,2:31.8,5.3,476
198909050210,2500,Weather01,G2,3,1984104450,6H,2:31.9,8.7,472
198909050210,2500,Weather01,G2,4,1986101812,4H,2:32.2,5.9,468
198909050210,2500,Weather01,G2,5,1985101789,5H,2:32.2,30.8,522
198909050210,2500,Weather01,G2,6,1986101204,4H,2:32.2,13.2,460
198909050210,2500,Weather01,G2,7,1984105012,6H,2:32.4,55.8,486
198909050210,2500,Weather01,G2,8,1984106972,6H,2:32.6,22.2,414
198909050210,2500,Weather01,G2,9,1986104990,4H,2:32.8,11.3,436
198909050210,2500,Weather01,G2,10,1986100469,4H,2:32.9,5.3,472
198909050210,2500,Weather01,G2,11,1986104062,4H,2:32.9,9.8,486
198909050210,2500,Weather01,G2,12,1985104491,5H,2:33.0,14.3,500
198909050210,2500,Weather01,G2,13,1986105271,4H,2:33.1,83.6,446
198906050809,2500,Weather03,G1,1,1984106229,6H,2:31.7,16.7,448
198906050809,2500,Weather03,G1,2,1985104409,5H,2:31.7,3.1,522
198906050809,2500,Weather03,G1,3,1986106198,4H,2:32.1,12.6,450
198906050809,2500,Weather03,G1,4,1983103889,7H,2:32.3,34.8,458
198906050809,2500,Weather03,G1,5,1985102167,5H,2:32.5,1.8,496
198906050809,2500,Weather03,G1,6,1985104215,5H,2:33.0,34.0,496
198906050809,2500,Weather03,G1,7,1983102263,7H,2:33.1,48.1,464
198906050809,2500,Weather03,G1,8,1984104419,6H,2:33.2,35.0,454
198906050809,2500,Weather03,G1,9,1985106301,5H,2:33.4,49.0,482
198906050809,2500,Weather03,G1,10,1983102888,7H,2:33.6,103.8,480
198906050809,2500,Weather03,G1,11,1984104450,6H,2:33.7,18.0,470
198906050809,2500,Weather03,G1,12,1985104018,5H,2:34.0,90.2,502
198906050809,2500,Weather03,G1,13,1985104631,5H,2:34.1,21.8,498
198906050809,2500,Weather03,G1,14,1986101204,4H,2:34.4,59.4,466
198906050809,2500,Weather03,G1,15,1982101936,8H,2:34.4,79.7,478
198906050809,2500,Weather03,G1,16,1986105047,4H,2:34.5,26.0,464
198907030811,1200,Weather01,G3,1,1983103831,7H,1:09.1,4.3,492
198907030811,1200,Weather01,G3,2,1983105967,7M,1:09.3,11.4,494
198907030811,1200,Weather01,G3,3,1986101828,4H,1:09.4,17.3,468
198907030811,1200,Weather01,G3,4,1982106570,8H,1:09.4,15.2,504
198907030811,1200,Weather01,G3,5,1984103585,6H,1:09.5,35.9,492
198907030811,1200,Weather01,G3,6,1984100088,6M,1:09.5,16.2,400
198907030811,1200,Weather01,G3,7,1986106099,4H,1:09.6,44.7,468
198907030811,1200,Weather01,G3,8,1986102317,4H,1:09.8,10.2,548
198907030811,1200,Weather01,G3,9,1986104209,4M,1:09.9,25.4,468
198907030811,1200,Weather01,G3,10,1984105105,6H,1:10.0,6.1,434
198907030811,1200,Weather01,G3,11,1985101921,5H,1:10.2,11.5,524
198907030811,1200,Weather01,G3,12,1984104405,6M,1:10.3,64.2,414
198907030811,1200,Weather01,G3,13,1984106784,6M,1:10.3,4.5,476
198907030811,1200,Weather01,G3,14,1984105168,6H,1:10.5,20.1,486
198907030811,1200,Weather01,G3,15,1986100306,4M,1:10.7,16.6,470
