horse1_Age,horse1_Weight (kg),horse1_Horse Weight (kg),horse1_average_time,horse2_Age,horse2_Weight (kg),horse2_Horse Weight (kg),horse2_average_time,horse3_Age,horse3_Weight (kg),horse3_Horse Weight (kg),horse3_average_time,horse4_Age,horse4_Weight (kg),horse4_Horse Weight (kg),horse4_average_time,horse5_Age,horse5_Weight (kg),horse5_Horse Weight (kg),horse5_average_time,horse6_Age,horse6_Weight (kg),horse6_Horse Weight (kg),horse6_average_time,horse7_Age,horse7_Weight (kg),horse7_Horse Weight (kg),horse7_average_time,horse8_Age,horse8_Weight (kg),horse8_Horse Weight (kg),horse8_average_time,horse9_Age,horse9_Weight (kg),horse9_Horse Weight (kg),horse9_average_time,horse10_Age,horse10_Weight (kg),horse10_Horse Weight (kg),horse10_average_time,horse11_Age,horse11_Weight (kg),horse11_Horse Weight (kg),horse11_average_time,horse12_Age,horse12_Weight (kg),horse12_Horse Weight (kg),horse12_average_time,horse13_Age,horse13_Weight (kg),horse13_Horse Weight (kg),horse13_average_time,horse14_Age,horse14_Weight (kg),horse14_Horse Weight (kg),horse14_average_time,horse15_Age,horse15_Weight (kg),horse15_Horse Weight (kg),horse15_average_time,horse16_Age,horse16_Weight (kg),horse16_Horse Weight (kg),horse16_average_time,target
5,57.0,496.0,133.03333333333333,7,56.0,464.0,153.1,8,56.0,478.0,154.4,7,56.0,480.0,177.95,6,56.0,448.0,176.85,5,57.0,496.0,133.46666666666667,5,57.0,522.0,176.8,6,56.0,470.0,153.7,7,56.0,458.0,169.79999999999998,4,55.0,450.0,178.95,5,57.0,498.0,166.225,5,57.0,482.0,153.4,4,55.0,466.0,154.4,6,56.0,454.0,153.2,4,55.0,464.0,154.75,5,57.0,502.0,124.55,4
6,57.0,434.0,99.7,6,53.0,476.0,70.3,6,55.0,492.0,69.5,5,56.0,524.0,73.96666666666665,4,51.0,470.0,70.7,4,55.0,468.0,70.8,4,53.0,468.0,78.56666666666666,7,57.0,492.0,75.55,8,56.0,504.0,69.4,4,52.0,468.0,69.9,6,56.0,486.0,70.5,6,54.0,414.0,70.3,6,54.0,400.0,69.5,4,54.0,464.0,101.52000000000001,4,53.0,548.0,69.6,7,56.0,494.0,69.3,7
5,54.0,490.0,112.66666666666667,5,54.0,476.0,112.7,4,53.0,464.0,122.7,6,55.0,460.0,121.19999999999999,5,52.0,456.0,113.97999999999999,6,54.0,424.0,122.9,5,55.0,428.0,121.7,4,53.0,454.0,109.7,4,52.0,414.0,123.9,7,53.0,438.0,124.5,4,52.0,420.0,122.6,6,55.0,486.0,122.6,5,54.0,468.0,85.475,6,50.0,474.0,122.7,6,50.0,548.0,123.8,5,56.5,456.0,122.8,6
4,49.0,430.0,108.3,6,57.0,464.0,125.75999999999999,7,56.0,430.0,99.7,6,54.0,492.0,87.74,6,55.0,454.0,109.46666666666665,6,49.0,456.0,108.8,5,53.0,484.0,108.0,4,51.0,428.0,116.56666666666666,4,52.0,476.0,100.45,6,56.0,496.0,108.16666666666667,6,55.0,448.0,115.65,6,53.0,508.0,102.15,5,53.0,496.0,107.3,5,51.0,426.0,115.2,5,50.0,466.0,102.2,6,51.0,458.0,108.4,8
4,54.0,454.0,104.6,4,54.0,474.0,103.15,4,54.0,456.0,122.4,4,54.0,450.0,120.675,4,54.0,456.0,123.7,4,54.0,460.0,122.0,4,54.0,448.0,109.9,4,54.0,426.0,103.80000000000001,4,54.0,454.0,91.125,4,54.0,448.0,124.1,4,54.0,400.0,122.6,4,54.0,444.0,114.9,4,54.0,444.0,122.4,4,54.0,454.0,99.96666666666665,4,54.0,464.0,122.1,4,54.0,448.0,109.69999999999999,3
4,56.0,436.0,146.075,4,56.0,446.0,121.6,4,56.0,498.0,113.93333333333334,4,56.0,452.0,116.91666666666667,4,56.0,480.0,121.7,4,56.0,450.0,122.5,4,56.0,470.0,122.9,4,56.0,454.0,122.0,4,56.0,490.0,122.1,4,56.0,490.0,95.85,4,56.0,446.0,125.1,4,56.0,480.0,121.6,4,56.0,464.0,109.06666666666666,4,56.0,462.0,117.83333333333333,4,56.0,490.0,121.2,4,56.0,488.0,122.65,3
6,57.0,482.0,87.74,8,57.0,432.0,81.65,5,57.0,462.0,94.2,7,57.0,478.0,94.0,5,57.0,474.0,122.36666666666667,7,57.0,442.0,93.6,7,55.0,460.0,91.125,6,57.0,496.0,133.03333333333333,8,57.0,502.0,93.8,5,55.0,446.0,94.6,6,57.0,498.0,133.46666666666667,6,57.0,488.0,93.9,6,57.0,504.0,77.725,6,55.0,482.0,94.55,6,57.0,508.0,78.75999999999999,6,57.0,506.0,122.63333333333333,7
6,55.0,516.0,71.2,4,53.0,476.0,115.8,6,53.0,470.0,71.6,4,51.0,454.0,84.15,7,57.0,448.0,70.05,7,56.0,514.0,70.6,6,55.0,484.0,76.2,6,55.0,446.0,70.2,7,55.0,530.0,70.1,6,55.0,514.0,72.6,7,55.0,470.0,70.0,4,54.0,494.0,84.9,6,55.0,466.0,70.5,5,56.0,482.0,78.56666666666666,6,56.0,472.0,70.6,4,51.0,474.0,83.86666666666667,10
3,53.0,424.0,96.1,3,53.0,440.0,96.65,3,53.0,424.0,97.7,3,53.0,388.0,97.65,3,53.0,398.0,96.4,3,53.0,424.0,104.26666666666667,3,53.0,422.0,82.35,3,53.0,430.0,96.5,3,53.0,448.0,96.3,3,53.0,408.0,96.8,3,53.0,430.0,96.8,3,53.0,442.0,96.95,3,53.0,450.0,96.4,3,53.0,432.0,96.75,3,53.0,446.0,96.6,3,53.0,424.0,104.39999999999999,1
9,57.0,492.0,103.86666666666667,6,57.0,494.0,87.74,6,57.0,494.0,77.725,4,55.0,462.0,93.62,6,57.0,518.0,78.75999999999999,7,55.0,460.0,91.125,7,57.0,448.0,70.05,6,55.0,450.0,69.25,6,55.0,478.0,85.475,6,57.0,460.0,74.9,4,55.0,488.0,95.85,5,57.0,452.0,101.52000000000001,6,57.0,486.0,76.2,7,57.0,440.0,69.3,4,53.0,448.0,83.5,5,57.0,472.0,70.8,2
